PREDATOR_SPECIES;PREY_SPECIES;TIME_SINCE_FEEDING;NUMBER_INDIVIDUAL_TESTED;POSITIVE_PREY_DETECTIONS
PHYTOSEIULUS_PERSIMILIS;TETRANYCHUS_URTICAE;0;12;11
PHYTOSEIULUS_PERSIMILIS;TETRANYCHUS_URTICAE;2;12;11
PHYTOSEIULUS_PERSIMILIS;TETRANYCHUS_URTICAE;4;12;10
PHYTOSEIULUS_PERSIMILIS;TETRANYCHUS_URTICAE;6;11;6
PHYTOSEIULUS_PERSIMILIS;TETRANYCHUS_URTICAE;8;10;5
PHYTOSEIULUS_PERSIMILIS;TETRANYCHUS_URTICAE;10;10;5
PHYTOSEIULUS_PERSIMILIS;TETRANYCHUS_URTICAE;12;10;4
PHYTOSEIULUS_PERSIMILIS;TETRANYCHUS_URTICAE;16;11;3
PHYTOSEIULUS_PERSIMILIS;TETRANYCHUS_URTICAE;20;10;0
PHYTOSEIULUS_PERSIMILIS;TETRANYCHUS_URTICAE;28;10;2
EUSEIUS_STIPULATUS;TETRANYCHUS_URTICAE;0;7;7
EUSEIUS_STIPULATUS;TETRANYCHUS_URTICAE;2;10;10
EUSEIUS_STIPULATUS;TETRANYCHUS_URTICAE;4;10;10
EUSEIUS_STIPULATUS;TETRANYCHUS_URTICAE;6;10;8
EUSEIUS_STIPULATUS;TETRANYCHUS_URTICAE;8;10;8
EUSEIUS_STIPULATUS;TETRANYCHUS_URTICAE;12;9;4
EUSEIUS_STIPULATUS;TETRANYCHUS_URTICAE;16;10;3
EUSEIUS_STIPULATUS;TETRANYCHUS_URTICAE;20;11;5
EUSEIUS_STIPULATUS;TETRANYCHUS_URTICAE;24;10;6
EUSEIUS_STIPULATUS;TETRANYCHUS_URTICAE;28;10;2
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;0;11;11
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;2;10;10
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;4;12;9
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;6;9;5
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;8;11;7
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;10;10;6
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;12;10;6
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;16;10;2
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;20;10;4
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;24;3;0
NEOSEIULUS_CALIFORNICUS;TETRANYCHUS_URTICAE;28;10;4
PHYTOSEIULUS_PERSIMILIS;PANONYCHUS_CITRI;0;10;4
PHYTOSEIULUS_PERSIMILIS;PANONYCHUS_CITRI;2;9;4
PHYTOSEIULUS_PERSIMILIS;PANONYCHUS_CITRI;4;10;2
PHYTOSEIULUS_PERSIMILIS;PANONYCHUS_CITRI;6;10;0
PHYTOSEIULUS_PERSIMILIS;PANONYCHUS_CITRI;8;10;0
EUSEIUS_STIPULATUS;PANONYCHUS_CITRI;0;10;9
EUSEIUS_STIPULATUS;PANONYCHUS_CITRI;2;10;7
EUSEIUS_STIPULATUS;PANONYCHUS_CITRI;4;10;3
EUSEIUS_STIPULATUS;PANONYCHUS_CITRI;6;10;0
EUSEIUS_STIPULATUS;PANONYCHUS_CITRI;8;10;1
EUSEIUS_STIPULATUS;PANONYCHUS_CITRI;10;10;0
EUSEIUS_STIPULATUS;PANONYCHUS_CITRI;12;10;0
NEOSEIULUS_CALIFORNICUS;PANONYCHUS_CITRI;0;10;9
NEOSEIULUS_CALIFORNICUS;PANONYCHUS_CITRI;2;10;7
NEOSEIULUS_CALIFORNICUS;PANONYCHUS_CITRI;4;10;3
NEOSEIULUS_CALIFORNICUS;PANONYCHUS_CITRI;6;10;0
NEOSEIULUS_CALIFORNICUS;PANONYCHUS_CITRI;8;10;2
NEOSEIULUS_CALIFORNICUS;PANONYCHUS_CITRI;10;10;0
NEOSEIULUS_CALIFORNICUS;PANONYCHUS_CITRI;12;10;0
